iter	Passed	Remaining
0	143	143210
1	144	72111
2	145	48342
3	146	36429
4	147	29287
5	148	24526
6	149	21143
7	149	18594
8	150	16613
9	151	15021
10	152	13728
11	156	12919
12	158	12022
13	159	11225
14	160	10526
15	161	9915
16	162	9378
17	163	8900
18	164	8473
19	165	8090
20	166	7746
21	167	7424
22	167	7130
23	169	6909
24	175	6842
25	179	6705
26	179	6482
27	181	6297
28	182	6116
29	183	5948
30	189	5917
31	190	5754
32	191	5610
33	192	5466
34	193	5329
35	196	5264
36	197	5140
37	198	5018
38	199	4903
39	199	4793
40	201	4717
41	203	4649
42	204	4556
43	205	4467
44	206	4382
45	207	4310
46	208	4235
47	209	4158
48	210	4083
49	211	4015
50	212	3949
51	213	3886
52	214	3824
53	219	3847
54	220	3789
55	221	3732
56	222	3686
57	224	3640
58	224	3588
59	225	3535
60	226	3488
61	227	3442
62	228	3398
63	229	3360
64	235	3390
65	236	3350
66	238	3323
67	239	3285
68	240	3245
69	241	3204
70	242	3167
71	243	3132
72	244	3106
73	246	3080
74	251	3104
75	253	3081
76	254	3050
77	255	3019
78	256	2990
79	257	2960
80	259	2939
81	260	2917
82	260	2882
83	261	2853
84	266	2868
85	267	2846
86	268	2821
87	269	2795
88	272	2784
89	273	2761
90	274	2737
91	275	2714
92	289	2819
93	290	2798
94	291	2773
95	291	2748
96	292	2724
97	293	2701
98	301	2743
99	302	2726
100	304	2712
101	305	2691
102	307	2681
103	308	2661
104	309	2640
105	316	2673
106	318	2659
107	319	2639
108	320	2619
109	321	2604
110	326	2616
111	327	2599
112	332	2611
113	333	2594
114	334	2576
115	336	2560
116	336	2543
117	340	2541
118	341	2529
119	346	2544
120	347	2526
121	348	2507
122	349	2492
123	350	2478
124	351	2462
125	352	2446
126	353	2429
127	356	2427
128	357	2413
129	358	2398
130	359	2383
131	360	2368
132	361	2353
133	361	2339
134	362	2323
135	363	2308
136	364	2295
137	365	2283
138	366	2270
139	367	2258
140	377	2296
141	377	2281
142	378	2268
143	379	2255
144	380	2243
145	381	2230
146	382	2217
147	383	2205
148	383	2192
149	386	2187
150	388	2184
151	389	2172
152	390	2161
153	391	2149
154	392	2138
155	393	2126
156	394	2118
157	395	2107
158	396	2095
159	397	2085
160	397	2072
161	398	2062
162	403	2071
163	405	2066
164	406	2055
165	407	2048
166	409	2041
167	410	2031
168	411	2021
169	411	2011
170	415	2016
171	417	2009
172	418	2000
173	419	1990
174	420	1980
175	421	1972
176	422	1962
177	423	1953
178	424	1944
179	424	1935
180	425	1926
181	426	1918
182	428	1911
183	428	1902
184	433	1909
185	434	1903
186	435	1895
187	436	1886
188	437	1876
189	438	1868
190	439	1859
191	440	1851
192	441	1845
193	442	1838
194	443	1830
195	447	1835
196	448	1828
197	449	1822
198	450	1814
199	456	1827
200	458	1820
201	459	1816
202	462	1816
203	463	1809
204	465	1804
205	466	1799
206	468	1793
207	469	1786
208	470	1779
209	471	1772
210	478	1787
211	479	1780
212	480	1773
213	481	1768
214	482	1761
215	483	1754
216	484	1747
217	485	1740
218	486	1733
219	486	1726
220	491	1730
221	492	1724
222	493	1718
223	494	1711
224	495	1705
225	496	1699
226	497	1693
227	498	1686
228	499	1680
229	500	1676
230	502	1672
231	507	1681
232	509	1675
233	510	1671
234	511	1665
235	512	1660
236	513	1654
237	514	1648
238	517	1646
239	518	1640
240	524	1651
241	525	1645
242	526	1639
243	527	1633
244	528	1627
245	529	1622
246	530	1616
247	535	1624
248	539	1625
249	540	1620
250	540	1614
251	541	1608
252	542	1602
253	543	1596
254	545	1592
255	546	1588
256	547	1583
257	548	1577
258	549	1572
259	555	1580
260	556	1575
261	557	1570
262	558	1565
263	559	1561
264	561	1556
265	562	1551
266	563	1545
267	563	1540
268	564	1535
269	572	1546
270	573	1542
271	575	1539
272	576	1534
273	577	1529
274	578	1523
275	579	1521
